               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.017047,           0.0044797,                   0,             0.91721,             0.76316,             0.83583,             0.40562,            0.041333,           0.0074962,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.017303,           0.0044375,                   0,             0.91043,             0.76316,             0.82915,             0.39821,            0.041174,           0.0074815,                   0,            0.001354,            0.001354,            0.001354
                 133,             0.01689,           0.0045713,                   0,             0.92243,             0.77193,               0.838,             0.39816,            0.041197,           0.0074864,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.017113,           0.0045495,                   0,             0.89027,             0.78285,             0.83273,             0.40596,            0.041185,           0.0075054,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.016137,           0.0045731,                   0,             0.90099,              0.7807,             0.83247,             0.39444,            0.041374,           0.0074997,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.017132,           0.0045552,                   0,             0.93398,             0.76316,             0.83154,             0.40217,            0.041517,           0.0075412,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.016445,           0.0046142,                   0,              0.9087,              0.7807,             0.83685,             0.40615,            0.040853,           0.0074739,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.016562,           0.0044782,                   0,             0.91983,             0.79825,             0.84209,             0.40597,             0.04073,           0.0074808,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.016103,           0.0045864,                   0,             0.92438,             0.79825,             0.84183,             0.39443,            0.041255,           0.0074949,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.016592,           0.0043834,                   0,             0.91928,             0.79915,             0.84958,             0.40133,             0.04072,           0.0075157,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.016087,           0.0044694,                   0,             0.92083,             0.79825,             0.85182,             0.40343,            0.040647,           0.0075063,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.016332,            0.004625,                   0,              0.9265,             0.80702,              0.8519,             0.40356,            0.041048,           0.0074801,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.016598,           0.0045162,                   0,             0.92292,             0.80702,              0.8553,             0.40651,             0.04022,           0.0074517,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.015766,           0.0043434,                   0,             0.89984,             0.79825,             0.84519,             0.40416,            0.040416,           0.0074443,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.015484,           0.0044352,                   0,             0.89733,             0.78947,             0.84711,             0.40378,            0.040763,           0.0074847,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016059,            0.004351,                   0,             0.93722,             0.78576,             0.85576,              0.4089,            0.040549,            0.007522,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.015897,           0.0042479,                   0,             0.93791,               0.795,               0.858,             0.41413,            0.040326,           0.0075163,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.015907,           0.0044696,                   0,             0.90857,             0.78458,             0.83986,             0.40833,            0.040553,           0.0074995,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.016361,           0.0044976,                   0,             0.91683,              0.7807,             0.84084,             0.40049,            0.040977,           0.0075527,                   0,            0.000232,            0.000232,            0.000232
